Year,Ranking,Journal
1997,0.742,Journal of Peasant Studies
1998,0.75,Journal of Peasant Studies
1999,0.605,Journal of Peasant Studies
2000,0.647,Journal of Peasant Studies
2001,0.571,Journal of Peasant Studies
2002,0.568,Journal of Peasant Studies
2003,0.864,Journal of Peasant Studies
2004,0.558,Journal of Peasant Studies
2005,0.848,Journal of Peasant Studies
2006,0.63,Journal of Peasant Studies
2007,0.6,Journal of Peasant Studies
2008,0.541,Journal of Peasant Studies
2009,0.267,Journal of Peasant Studies
2010,1.612,Journal of Peasant Studies
2011,2.548,Journal of Peasant Studies
2012,5.805,Journal of Peasant Studies
2013,5.477,Journal of Peasant Studies
2014,4.553,Journal of Peasant Studies
2015,4.311,Journal of Peasant Studies
